time_stamp,veh_0,veh_1,veh_2,veh_3,veh_4,veh_5,veh_6,veh_7,veh_8,veh_9,veh_10,veh_11,veh_12,veh_13,veh_14,veh_15,veh_16,veh_17,veh_18,veh_19
107,"['12.24', '1296.99']","['7.13', '747.07']","['10.8', '1020.21']","['13.91', '1258.51']","['11.16', '1030.9']","['2.12', '258.83']","['10.01', '999.06']","['4.75', '435.26']","['6.67', '589.98']","['4.38', '307.06']","['13.65', '1005.13']","['11.59', '776.59']","['12.46', '814.87']","['15.2', '930.56']","['10.06', '499.67']","['6.62', '410.41']","['5.17', '277.42']","['7.23', '403.78']","['6.84', '365.59']","['17.03', '638.11']"
108,"['11.99', '1308.98']","['7.39', '754.45']","['10.49', '1030.7']","['13.13', '1271.64']","['10.84', '1041.74']","['2.44', '261.27']","['11.46', '1010.53']","['4.73', '439.99']","['7.02', '597']","['4.06', '311.12']","['12.23', '1017.35']","['11.45', '788.05']","['11.76', '826.63']","['14.7', '945.26']","['9.9', '509.57']","['7.2', '417.6']","['4.83', '282.25']","['7.85', '411.63']","['6.57', '372.16']","['16.71', '654.82']"
109,"['12.66', '1321.64']","['7.63', '762.09']","['10.26', '1040.96']","['12.77', '1284.41']","['11.53', '1053.28']","['2.19', '263.46']","['10.89', '1021.41']","['5.51', '445.5']","['7.26', '604.26']","['3.48', '314.6']","['11.66', '1029.02']","['10.97', '799.01']","['12.18', '838.81']","['14.67', '959.92']","['9.87', '519.44']","['7.07', '424.67']","['4.63', '286.87']","['8', '419.63']","['7.03', '379.19']","['17.14', '671.95']"
110,"['11.77', '1333.41']","['7.29', '769.37']","['10.8', '1051.76']","['12.88', '1297.29']","['11.34', '1064.62']","['3.14', '266.6']","['10.13', '1031.54']","['5.32', '450.82']","['7.74', '612']","['3.2', '317.8']","['13.76', '1042.78']","['11.28', '810.3']","['11.7', '850.51']","['15.17', '975.09']","['9.7', '529.15']","['6.52', '431.2']","['5.32', '292.19']","['7.04', '426.67']","['7.2', '386.38']","['17.01', '688.96']"
111,"['12.7', '1346.11']","['7.19', '776.57']","['10.04', '1061.8']","['12.82', '1310.11']","['11.23', '1075.85']","['2.89', '269.49']","['11.33', '1042.87']","['4.79', '455.61']","['6.85', '618.85']","['3.66', '321.45']","['13.64', '1056.42']","['11.6', '821.9']","['12.08', '862.59']","['14.77', '989.86']","['9.3', '538.45']","['6.75', '437.95']","['4.75', '296.94']","['7.81', '434.48']","['6.95', '393.34']","['15.87', '704.84']"
112,"['12.13', '1358.24']","['7.14', '783.71']","['9.82', '1071.62']","['13.09', '1323.2']","['10.85', '1086.71']","['2.65', '272.14']","['12.13', '1055']","['5.45', '461.06']","['7.23', '626.08']","['3.78', '325.23']","['13.03', '1069.45']","['10.5', '832.4']","['12.35', '874.94']","['14.47', '1004.33']","['9.21', '547.66']","['6.96', '444.91']","['4.42', '301.36']","['7.83', '442.31']","['6.63', '399.97']","['16.07', '720.9']"
113,"['12.88', '1371.12']","['7.17', '790.88']","['10.01', '1081.63']","['12.92', '1336.13']","['10.77', '1097.47']","['3.33', '275.47']","['11.59', '1066.59']","['5.66', '466.73']","['7.86', '633.93']","['3.99', '329.22']","['14.23', '1083.68']","['10.46', '842.86']","['12.48', '887.42']","['14.43', '1018.76']","['9.5', '557.16']","['6.55', '451.47']","['4.6', '305.97']","['6.75', '449.06']","['7.29', '407.26']","['16.38', '737.29']"
114,"['11.8', '1382.92']","['7.48', '798.36']","['10.29', '1091.92']","['12.73', '1348.86']","['10.9', '1108.38']","['2.87', '278.33']","['11.86', '1078.46']","['4.59', '471.32']","['7.79', '641.73']","['3.84', '333.06']","['13.31', '1096.99']","['10.77', '853.63']","['11.39', '898.81']","['14.89', '1033.65']","['9.63', '566.79']","['6.31', '457.77']","['4.4', '310.37']","['7.24', '456.3']","['7.15', '414.41']","['16.26', '753.55']"
115,"['11.72', '1394.64']","['7.56', '805.92']","['9.81', '1101.73']","['12.68', '1361.53']","['11.29', '1119.67']","['3', '281.34']","['11.75', '1090.21']","['4.68', '476']","['6.77', '648.5']","['3.64', '336.7']","['13.45', '1110.43']","['11.56', '865.19']","['11.98', '910.78']","['14.46', '1048.12']","['9.02', '575.81']","['4.52', '462.29']","['5.22', '315.59']","['7.17', '463.47']","['6.77', '421.17']","['16.45', '770']"
116,"['11.82', '1406.46']","['6.93', '812.85']","['10.79', '1112.52']","['12.72', '1374.26']","['10.88', '1130.55']","['3.13', '284.47']","['11.67', '1101.88']","['5.4', '481.4']","['7.78', '656.28']","['4.36', '341.06']","['13.53', '1123.97']","['10.83', '876.03']","['12.2', '922.99']","['15.42', '1063.54']","['8.94', '584.75']","['5.29', '467.58']","['4.14', '319.73']","['7.77', '471.24']","['7.13', '428.3']","['15.92', '785.92']"
117,"['11.81', '1418.28']","['6.83', '819.68']","['9.59', '1122.11']","['12.88', '1387.14']","['11.09', '1141.64']","['2.22', '286.68']","['12.04', '1113.91']","['4.7', '486.1']","['7.67', '663.95']","['4.33', '345.39']","['13.22', '1137.18']","['10.68', '886.71']","['11.62', '934.61']","['15.36', '1078.9']","['10.03', '594.78']","['4.77', '472.35']","['5.18', '324.91']","['7.26', '478.5']","['7.37', '435.68']","['16.9', '802.82']"
